,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
14,0.15964090824127197,0.006209179528279663,0.0029880404472351074,0.0004726218338405479,10,,l1,1234,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.7449806269813315,0.7480847245566664,0.0021263082725759596,1
6,0.16543084383010864,0.020701128955737235,0.0026192069053649902,1.2866184122097326e-05,1,,l1,1234,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7506603275224512,0.7490755414685684,0.7474462839027827,0.7451567453328637,0.7480847245566664,0.002036916640035986,1
10,0.17003697156906128,0.026434723869241634,0.003599405288696289,0.0010140039571092014,5,,l1,1234,liblinear,"{'C': 5, 'class_weight': None, 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.7449806269813315,0.7480847245566664,0.0021263082725759596,1
18,0.15835362672805786,0.005730293524802902,0.004133462905883789,0.0014975813501979431,20,,l1,1234,liblinear,"{'C': 20, 'class_weight': None, 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.7449806269813315,0.7480847245566664,0.0021263082725759596,1
7,0.16470175981521606,0.00966855891806246,0.0026230216026306152,6.242501755253497e-05,1,,l2,1234,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7510125022010917,0.7488994541292481,0.7476224022543149,0.744628390278267,0.7480406872157305,0.002312352569210594,5
19,0.17128294706344604,0.01298236646429143,0.002570807933807373,3.942796567344572e-05,20,,l2,1234,liblinear,"{'C': 20, 'class_weight': None, 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.744628390278267,0.7479966653809004,0.0022563551744568143,6
15,0.16923367977142334,0.011807951801901806,0.004175662994384766,0.0018647356852135228,10,,l2,1234,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.744628390278267,0.7479966653809004,0.0022563551744568143,6
11,0.17093849182128906,0.010243919023259178,0.002896904945373535,0.0005339336171481426,5,,l2,1234,liblinear,"{'C': 5, 'class_weight': None, 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7508364148617714,0.7488994541292481,0.7476224022543149,0.744628390278267,0.7479966653809004,0.0022563551744568143,6
3,0.16237026453018188,0.008039892690641075,0.0026262402534484863,2.8589049586006955e-05,0.5,,l2,1234,liblinear,"{'C': 0.5, 'class_weight': None, 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7510125022010917,0.7488994541292481,0.7474462839027827,0.7444522719267348,0.7479526280399643,0.002385801062010673,9
2,0.7928433418273926,0.29654397204270166,0.0026298165321350098,1.2852923144193483e-05,0.5,,l1,1234,liblinear,"{'C': 0.5, 'class_weight': None, 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7504842401831309,0.7487233667899278,0.7470940471997182,0.7448045086297992,0.747776540700644,0.00209325632327626,10
0,0.7941333055496216,0.273657295081325,0.0026210546493530273,6.287846504407813e-05,0.5,balanced,l1,1234,liblinear,"{'C': 0.5, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7480190174326465,0.7478429300933263,0.7448045086297992,0.7419866150052835,0.7456632677902638,0.0024776867805456717,11
8,0.15423095226287842,0.007221479632372232,0.0026363730430603027,3.5004270787936486e-05,5,balanced,l1,1234,liblinear,"{'C': 5, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7480190174326465,0.7451567453328637,0.7416343783022191,0.7456192459554338,0.002551697123086966,12
5,0.17217093706130981,0.0037989292535085826,0.0026303529739379883,2.0526510454800255e-05,1,balanced,l2,1234,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7451567453328637,0.7416343783022191,0.7455752241206037,0.002511112758638323,13
12,0.1592879295349121,0.013094204248231002,0.0030307769775390625,0.0006654068840826825,10,balanced,l1,1234,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7449806269813315,0.7416343783022191,0.7455311945327208,0.002519594014429231,14
13,0.17419034242630005,0.0053320713671974355,0.0026425719261169434,4.9688792847590914e-05,10,balanced,l2,1234,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7449806269813315,0.7416343783022191,0.7455311945327208,0.002519594014429231,14
16,0.15620571374893188,0.010984607750032724,0.0033240318298339844,0.0007615323613995883,20,balanced,l1,1234,liblinear,"{'C': 20, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7449806269813315,0.7416343783022191,0.7455311945327208,0.002519594014429231,14
17,0.2088470458984375,0.02426224751396884,0.0032309889793395996,0.0006645852647769023,20,balanced,l2,1234,liblinear,"{'C': 20, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7449806269813315,0.7416343783022191,0.7455311945327208,0.002519594014429231,14
9,0.17498314380645752,0.002674151835951653,0.00280606746673584,0.0002803227925710028,5,balanced,l2,1234,liblinear,"{'C': 5, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7449806269813315,0.7416343783022191,0.7455311945327208,0.002519594014429231,14
1,0.1714804768562317,0.0035510513119773445,0.0024352073669433594,0.00033634148454434495,0.5,balanced,l2,1234,liblinear,"{'C': 0.5, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7478429300933263,0.7451567453328637,0.7414582599506868,0.7455311945327207,0.0025804129001018557,19
4,0.16447114944458008,0.016190346992285585,0.002623319625854492,9.105280138935237e-06,1,balanced,l1,1234,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.747666842754006,0.7480190174326465,0.7448045086297992,0.7416343783022191,0.7455311867796677,0.0025721345825033765,20
